height,ts,gap_s,txs,counted_txs,bytes,fullness,fee_speck
595027,1787786970.0,6.0,0,0,0,0.000000,0
595028,1787786976.001,6.000999927520752,0,0,0,0.000000,0
595029,1787786982.001,6.0,0,0,0,0.000000,0
595030,1787786988.001,6.0,0,0,0,0.000000,0
595031,1787786994.0,5.999000072479248,0,0,0,0.000000,0
595032,1787787000.0,6.0,0,0,0,0.000000,0
595033,1787787006.0,6.0,0,0,0,0.000000,0
595034,1787787012.0,6.0,0,0,0,0.000000,0
595035,1787787018.001,6.000999927520752,0,0,0,0.000000,0
595036,1787787024.0,5.999000072479248,0,0,0,0.000000,0
595037,1787787030.0,6.0,0,0,0,0.000000,0
595038,1787787036.0,6.0,0,0,0,0.000000,0
595039,1787787042.0,6.0,0,0,0,0.000000,0
595040,1787787048.001,6.000999927520752,0,0,0,0.000000,0
595041,1787787054.0,5.999000072479248,0,0,0,0.000000,0
595042,1787787060.0,6.0,0,0,0,0.000000,0
595043,1787787066.0,6.0,0,0,0,0.000000,0
595044,1787787072.0,6.0,0,0,0,0.000000,0
595045,1787787078.0,6.0,0,0,0,0.000000,0
595046,1787787084.0,6.0,0,0,0,0.000000,0
595047,1787787090.0,6.0,0,0,0,0.000000,0
595048,1787787096.001,6.000999927520752,0,0,0,0.000000,0
595049,1787787102.0,5.999000072479248,0,0,0,0.000000,0
595050,1787787108.0,6.0,0,0,0,0.000000,0
595051,1787787114.0,6.0,0,0,0,0.000000,0
595052,1787787120.001,6.000999927520752,0,0,0,0.000000,0
595053,1787787126.0,5.999000072479248,0,0,0,0.000000,0
595054,1787787132.0,6.0,0,0,0,0.000000,0
595055,1787787138.0,6.0,0,0,0,0.000000,0
595056,1787787144.0,6.0,0,0,0,0.000000,0
595057,1787787150.001,6.000999927520752,0,0,0,0.000000,0
595058,1787787156.0,5.999000072479248,0,0,0,0.000000,0
595059,1787787162.001,6.000999927520752,0,0,0,0.000000,0
595060,1787787168.0,5.999000072479248,0,0,0,0.000000,0
595061,1787787174.0,6.0,0,0,0,0.000000,0
595062,1787787180.0,6.0,0,0,0,0.000000,0
595063,1787787186.001,6.000999927520752,0,0,0,0.000000,0
595064,1787787192.0,5.999000072479248,0,0,0,0.000000,0
595065,1787787198.001,6.000999927520752,0,0,0,0.000000,0
595066,1787787204.0,5.999000072479248,0,0,0,0.000000,0
595067,1787787210.0,6.0,0,0,0,0.000000,0
595068,1787787216.0,6.0,0,0,0,0.000000,0
595069,1787787222.001,6.000999927520752,0,0,0,0.000000,0
595070,1787787228.0,5.999000072479248,0,0,0,0.000000,0
595071,1787787234.0,6.0,0,0,0,0.000000,0
595072,1787787240.0,6.0,0,0,0,0.000000,0
595073,1787787246.0,6.0,0,0,0,0.000000,0
595074,1787787252.0,6.0,0,0,0,0.000000,0
595075,1787787258.001,6.000999927520752,0,0,0,0.000000,0
595076,1787787264.0,5.999000072479248,0,0,0,0.000000,0
595077,1787787270.0,6.0,0,0,0,0.000000,0
595078,1787787276.0,6.0,0,0,0,0.000000,0
595079,1787787282.0,6.0,0,0,0,0.000000,0
595080,1787787288.0,6.0,0,0,0,0.000000,0
595081,1787787294.001,6.000999927520752,0,0,0,0.000000,0
595082,1787787300.0,5.999000072479248,0,0,0,0.000000,0
595083,1787787306.001,6.000999927520752,0,0,0,0.000000,0
595084,1787787312.0,5.999000072479248,0,0,0,0.000000,0
595085,1787787318.0,6.0,0,0,0,0.000000,0
595086,1787787324.0,6.0,0,0,0,0.000000,0
595087,1787787330.0,6.0,0,0,0,0.000000,0
595088,1787787336.0,6.0,0,0,0,0.000000,0
595089,1787787342.0,6.0,0,0,0,0.000000,0
595090,1787787348.0,6.0,0,0,0,0.000000,0
595091,1787787354.001,6.000999927520752,0,0,0,0.000000,0
595092,1787787360.001,6.0,0,0,0,0.000000,0
595093,1787787366.001,6.0,0,0,0,0.000000,0
595094,1787787372.001,6.0,0,0,0,0.000000,0
595095,1787787378.0,5.999000072479248,0,0,0,0.000000,0
595096,1787787384.0,6.0,0,0,0,0.000000,0
